AggregationMethod,Date,Version,AirportName,PercentOfBaseline,lon,lat,City,State,ISO_3166_2,Country
Daily,2020-07-31,1.0,Kingsford Smith,25,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-15,1.0,Kingsford Smith,61,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-09,1.0,Kingsford Smith,16,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-19,1.0,Kingsford Smith,20,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-08,1.0,Kingsford Smith,56,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-02,1.0,Kingsford Smith,56,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-09,1.0,Kingsford Smith,19,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-08,1.0,Kingsford Smith,69,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-24,1.0,Kingsford Smith,40,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-21,1.0,Kingsford Smith,100,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-25,1.0,Kingsford Smith,13,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-24,1.0,Kingsford Smith,11,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-06,1.0,Kingsford Smith,21,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-03-20,1.0,Kingsford Smith,85,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-29,1.0,Kingsford Smith,59,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-11,1.0,Kingsford Smith,22,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-22,1.0,Kingsford Smith,50,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-04,1.0,Kingsford Smith,6,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-11,1.0,Kingsford Smith,17,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-05,1.0,Kingsford Smith,27,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-26,1.0,Kingsford Smith,17,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
